CARDINAL,DATE,NORP,ORG,GPE,PERSON,EVENT,WORK_OF_ART,MONEY,PRODUCT,PERCENT,TIME,ORDINAL,LAW,FAC,QUANTITY,LOC
14,two days,Freezes,DELL,singh,NEED ANY,Inspiron 3501,Blackfriday,750,DellNeighborhood,10%,every 30 seconds,8th,Order No. and Service Request no.,DellSupport,40 km,TouchPad
50%share,May 2022,french,Twitter DM,https://t.co/RaPncnMpmO,Coustomer,9833426158 https://t.co/fBYQmNt5eh,Dear Dell,377,Task Mgr, ,at least 30 hour,First,xps 9360 64bit,DellIndia, ,the Sign Language
73,13 Jan 2023,Unhappy,POST,"Oct 2022
",https://t.co, ,Dear #,70,T440, ,next 48 hours,3rd,the Trade Descriptions Act,n’t NEED DELL, ,Tweet
11,160490233,dem,cmon,mumbai,"kuch_tho_sharm_karo
  ", ,🤣 Have a nice day,#Day20 #,LOL Hello, ,over 24 hours,Second,Inspiron 14 5420,USA Volleyball, ,Europe
6,two months,Diwali,RT : 🚚 Waiting,HW,🔬 Lea, ,Access Denied,#delldoesnotcare #,a Task Sequence, ,100s of hours,third,XPS 17, , , 
5420-,"14 5410,it",indian,INSTRUCTIONS INCOMPREHENSIBLE INSIPID BRIGHTNESSIS,OSDDoNotLogCommand https://t.co/znIi6qTNUV,customerexperience, ,Download the OS Recovery Tool,8,G3 15, ,24 Hours,5th,Inspirion 15 3000, , , 
13 9360,Monday,https://t.co/RDctFS51md,Need Hire Command Please,https://t.co/zVC1rod2jz,https://t.co/6QrRH7VZru, ,Love Lenovo,#Day19 #,Learn, ,two hours,fifth,XPS 13’s, , , 
23,first day,this Kleptocratic Nazi,Dell Inspiron 1545,India,Alex B, , ,#Dell,M3M, ,5 hour,4th,XPS 13, , , 
2,Nov 14th,tec,CS,https://t.co/XAFfxWTLGJ,https://t.co/LHKn4pNpOk, , ,#dellsucks #,Premium Support Plus, ,7 am – 12 am,second,Rs 50, , , 
17,6 weeks,https://t.co/MGhbwAynB9,XPS,Dell13,ya fuckin, , ,#dell #,me!Technician, ,over an hour ago,fourth,Windows 11, , , 
